,appid,average_2weeks,average_forever,ccu,developer,discount,genre,initialprice,languages,median_2weeks,median_forever,name,negative,owners,positive,price,publisher,score_rank,tags,userscore
342,12180,0,28,1,Rockstar North,0,Action,0,English,0,8,Grand Theft Auto 2,17,"500,000 .. 1,000,000",176,0,Rockstar Games,80,13,86
343,12200,37,457,131,Rockstar New England,0,"Action, Adventure",1499,"English, Italian, German, Spanish - Spain, French",38,120,Bully: Scholarship Edition,1710,"500,000 .. 1,000,000",8342,1499,Rockstar Games,56,20,82
344,12210,160,1614,1098,"Rockstar North, Rockstar Toronto",0,"Action, Adventure",1999,"English, French, Italian, German, Spanish - Spain",49,560,Grand Theft Auto IV,18616,"2,000,000 .. 5,000,000",34573,1999,Rockstar Games,26,20,63
345,12220,56,1124,185,Rockstar North / Toronto,0,Action,1999,"English, French, German, Italian, Spanish - Spain",35,199,Grand Theft Auto: Episodes from Liberty City,2296,"2,000,000 .. 5,000,000",6271,1999,Rockstar Games,38,20,71
346,12240,0,306,15,,0,,0,,0,18,Grand Theft Auto: Vice City,781,"0 .. 20,000",9497,0,,84,20,92
347,12310,0,379,0,Momentum Digital Media Technologies,0,"RPG, Casual, Adventure",999,English,0,449,Culpa Innata,14,"20,000 .. 50,000",56,999,Strategy First,52,8,80
348,12320,39,420,59,Ascaron Entertainment ltd.,0,"Action, RPG",999,English,39,77,Sacred Gold,301,"200,000 .. 500,000",1465,999,Strategy First,56,16,82
349,12330,20,348,3,Ascaron Entertainment ltd.,0,Action,999,English,32,42,Darkstar One,58,"100,000 .. 200,000",249,999,Strategy First,54,8,81
350,12340,0,445,0,Deck13,0,Adventure,999,English,0,240,Jack Keane,26,"20,000 .. 50,000",45,999,Deck13,23,3,65
351,12360,38,346,32,Bugbear Entertainment,0,Racing,1999,"English, French, German, Italian, Spanish - Spain",37,126,FlatOut: Ultimate Carnage,385,"200,000 .. 500,000",1920,1999,Strategy First,58,9,82
352,12390,0,84,0,Parallax Arts Studio,85,Action,1499,English,0,136,Exodus from the Earth ,40,"20,000 .. 50,000",48,224,Strategy First,14,3,56
353,12420,0,162,0,KDV Games,0,Strategy,1499,English,0,233,Perimeter 2: New Earth,40,"0 .. 20,000",12,1499,Strategy First,2,2,21
354,12430,0,12,0,Technetium Games,0,Casual,499,English,0,14,SlamIt Pinball Big Score,68,"0 .. 20,000",31,499,Kalypso Media Digital,4,2,32
355,12440,0,239,0,Deck 13,0,Adventure,499,English,0,240,Ankh 2: Heart of Osiris ,17,"20,000 .. 50,000",21,499,Strategy First,15,3,54
356,12450,0,375,0,Deck 13,0,Adventure,999,English,0,377,Ankh 3: Battle of the Gods,8,"20,000 .. 50,000",11,999,Strategy First,17,2,55
357,12460,0,24,0,Mascot Entertainment,0,Strategy,499,English,0,29,BC Kings,76,"20,000 .. 50,000",85,499,Strategy First,13,2,54
358,12470,0,192,19,Ascaron Entertainment ltd.,0,Strategy,499,English,0,100,Port Royale 2,92,"50,000 .. 100,000",171,499,Strategy First,26,6,64
359,12480,0,24,0,"Noviy Disk, Lesta Studios Inc",0,Strategy,999,English,0,34,9th Company: Roots Of Terror,66,"20,000 .. 50,000",86,999,Strategy First,16,5,57
